index,issueArea,decisionDirection,partyWinning,voteDistribution,respondentType,rouge1,rouge2,rougeL,bert_f1,align_score,unieval_coherence,unieval_consistency,unieval_fluency,unieval_relevance,unieval_overall
0,10.0,2.0,0.0,0.625,1,0.4469565217391304,0.268059181897302,0.27217391304347827,0.6567841172218323,0.7597360610961914,0.6742561307174302,0.6648574544122664,0.8441232173903479,0.5426639941195699,0.6814751991599035
1,8.0,1.0,0.0,0.6666666666666666,1,0.576615056059797,0.22020309994655263,0.20074746396155904,0.6186102032661438,0.7402788400650024,0.8840294131660825,0.5680227769831834,0.6764884584052685,0.8652272801846878,0.7484419821848055
2,2.0,1.0,1.0,1.0,2,0.36649214659685864,0.2609202096680256,0.24898196625945315,0.6744880676269531,0.6527984142303467,0.7119114696164078,0.7795353928464687,0.6794223846208313,0.7697669169891576,0.7351590410182164
3,1.0,1.0,0.0,0.6666666666666666,1,0.5186880244088482,0.3300229182582124,0.32799389778794813,0.6545825004577637,0.7577171921730042,0.11909497939960664,0.6442943457400533,0.6915613577290863,0.20787449467912988,0.41570629438696904
4,8.0,2.0,1.0,1.0,3,0.4283426741393115,0.24358974358974358,0.23298638911128905,0.6421165466308594,0.7613720893859863,0.41088774247624354,0.7154246884118107,0.8495874829430191,0.5448513149951505,0.630187807206556
5,7.0,1.0,0.0,0.5555555555555556,3,0.37595258255715497,0.2330508474576271,0.19305673158340386,0.6024488806724548,0.6771472692489624,0.17588373110542693,0.6260843886784665,0.7358444788104085,0.05363615277975753,0.39786218784351485
6,10.0,1.0,0.0,0.5555555555555556,1,0.5684813753581661,0.2742398164084911,0.2510028653295128,0.6371962428092957,0.6381016373634338,0.35647265928756183,0.5724557868013918,0.7552065989558071,0.34558771834743246,0.5074306908480483
7,8.0,1.0,1.0,0.8888888888888888,2,0.617391304347826,0.2926829268292683,0.30782608695652175,0.6608030796051025,0.6727739572525024,0.7114081318624792,0.6866427427971644,0.7299329300045024,0.6454728465206403,0.6933641627961966
8,8.0,1.0,1.0,1.0,2,0.5663010967098704,0.2837162837162837,0.26919242273180455,0.6534141898155212,0.5266727805137634,0.6317944230751751,0.6715555667956613,0.624382548525755,0.5775496431610021,0.6263205453893983
9,1.0,2.0,1.0,0.5555555555555556,1,0.5816372682044324,0.2888184698958805,0.2722749886928991,0.6315376162528992,0.7116804718971252,0.9026428565957688,0.47639456018848986,0.815600900830353,0.8869047693997415,0.7703857717535884
10,2.0,2.0,1.0,0.5555555555555556,2,0.6552675124103695,0.2959690778575373,0.2669608383894098,0.648293673992157,0.7291476726531982,0.9087523001086889,0.5697494254629141,0.7448666079251921,0.8927519784373131,0.779030077983527
11,9.0,1.0,0.0,0.6666666666666666,1,0.5567890691716482,0.31196581196581197,0.25106746370623395,0.6648480296134949,0.690441906452179,0.8503516551692414,0.5349522609436641,0.6870653318220677,0.809979904225924,0.7205872880402243
12,5.0,1.0,1.0,0.625,2,0.6090452261306533,0.2796780684104628,0.26030150753768844,0.6918383240699768,0.727783203125,0.497771672835354,0.612795746600577,0.7359575569407636,0.5603457247541713,0.6017176752827165
13,4.0,2.0,0.0,1.0,3,0.6013195098963242,0.3122641509433962,0.23656927426955704,0.5976743102073669,0.7466635704040527,0.8853285413272859,0.5537357688392428,0.7493503559627505,0.8633673477948377,0.7629455034810292
14,2.0,1.0,1.0,1.0,1,0.6171916711158568,0.2822020309994655,0.2904431393486386,0.6701012253761292,0.7290221452713013,0.684524039076221,0.5905871297303416,0.7496094985658656,0.6873992162760192,0.6780299709121118
15,1.0,1.0,0.0,0.5555555555555556,1,0.586996336996337,0.2795600366636114,0.2527472527472527,0.6417681574821472,0.7493396997451782,0.8310154295632863,0.6432396081692212,0.7786970368025352,0.7905810084433271,0.7608832707445925
16,8.0,1.0,0.0,1.0,2,0.592641261498029,0.26184210526315793,0.2706964520367937,0.6821346282958984,0.5448203086853027,0.7342478922156238,0.6055509522553589,0.7363370920644603,0.7761645358002398,0.7130751180839207
17,8.0,1.0,0.0,0.75,1,0.5113589425857084,0.2926829268292683,0.2395704254440314,0.6158611178398132,0.7107776403427124,0.9135425971869203,0.5653301676830509,0.6838088277435741,0.8819782270521249,0.7611649549164176
18,9.0,1.0,0.0,0.8888888888888888,1,0.5573934837092731,0.2809834420471651,0.2255639097744361,0.7174662351608276,0.6504170298576355,0.8580231638870505,0.7115879630674912,0.8188085934498587,0.8026492962011609,0.7977672541513903
19,1.0,1.0,0.0,1.0,1,0.5776614310645725,0.2832167832167832,0.2600349040139616,0.6591408252716064,0.6488859057426453,0.3565055212559114,0.5336522118569885,0.5255975044900749,0.23068272724922376,0.4116094912130497
20,12.0,2.0,0.0,0.5555555555555556,1,0.5717746820109024,0.2910855063674955,0.27740763173834043,0.687719464302063,0.600877046585083,0.20448120951707904,0.6569309876007126,0.8045220523057104,0.5669508645071628,0.5582212784826661
21,2.0,1.0,1.0,1.0,2,0.5836128413991375,0.3155875299760192,0.23382846190704357,0.6773996949195862,0.6265170574188232,0.8305869140219289,0.5944894045290247,0.7378283331431432,0.8325248730326964,0.7488573811816983
22,3.0,2.0,1.0,1.0,1,0.5064247921390779,0.2639939485627837,0.28949357520786095,0.664378821849823,0.758492648601532,0.9091895336091453,0.617593571383571,0.7325059754369253,0.870735211735464,0.7825060730412764
23,1.0,1.0,1.0,0.6666666666666666,2,0.6633266533066132,0.36609829488465395,0.25551102204408815,0.6509776711463928,0.7989329099655151,0.8989699648877506,0.6382956327044418,0.8518771345442661,0.8858406007282664,0.8187458332161812
24,2.0,2.0,1.0,1.0,1,0.5278704144830872,0.2126847877920839,0.19914244878513576,0.617834746837616,0.6557543277740479,0.8273141901487091,0.5761079978014972,0.6301256625194854,0.8533672017092817,0.7217287630447434
25,8.0,2.0,0.0,1.0,2,0.6636259977194983,0.3344748858447488,0.29304446978335236,0.670333743095398,0.6849271655082703,0.8435896433307063,0.5363863678412435,0.6351883917590041,0.8277385309998087,0.7107257334826906
26,2.0,1.0,0.0,0.6666666666666666,1,0.36564223798266354,0.21941594317284926,0.20646178092986603,0.6681067943572998,0.5863975882530212,0.6032845773603824,0.6868579415889134,0.8903551744739818,0.48750573518645485,0.6670008571524332
27,9.0,1.0,0.0,1.0,3,0.37463126843657824,0.21270310192023634,0.22418879056047197,0.6661993861198425,0.6362572908401489,0.44486406407260815,0.6658126574551205,0.6985810498143422,0.33115669912564083,0.5351036176169279
28,7.0,1.0,1.0,0.7777777777777778,3,0.3592321755027422,0.16193961573650503,0.1846435100548446,0.6019510626792908,0.7407658696174622,0.19450966119549304,0.5983101600877149,0.7892203689910297,0.22686669410320387,0.45222672109436035
29,10.0,2.0,0.0,0.6666666666666666,3,0.2436548223350254,0.16440677966101697,0.16751269035532995,0.6335373520851135,0.46508535742759705,0.4055230701527937,0.7001074039567736,0.7981150405807494,0.43594366090396497,0.5849222938985704
30,2.0,2.0,1.0,0.5555555555555556,1,0.5996621621621623,0.3508030431107354,0.29560810810810806,0.6905373930931091,0.7524791955947876,0.8829127055557277,0.7187071582849585,0.776257090291777,0.8648474424449836,0.8106810991443616
31,2.0,2.0,1.0,0.7777777777777778,1,0.5844321565291366,0.3005534269902086,0.24330072309655462,0.6470557451248169,0.7246716618537903,0.8085850072915878,0.5559858964714779,0.6961719582072904,0.7980036760663352,0.7146866345091729
32,2.0,1.0,1.0,1.0,2,0.5667855727308759,0.3117810392701309,0.24573919936583435,0.6196871399879456,0.644776463508606,0.7587606921410819,0.4939337396207514,0.6817450572469004,0.7390788645052401,0.6683795883784934
33,2.0,2.0,1.0,0.7777777777777778,1,0.6316831683168317,0.29137760158572845,0.26831683168316833,0.6738015413284302,0.7471759915351868,0.8045315318525152,0.650660650651332,0.7513931299338682,0.8130174411255339,0.7549006883908124
